car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Toyota,Prius,2021,Automatic,"40,000 - 49,999",Without Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"17,500 JOD"
Mercedes Benz,C 180,2013,Automatic,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"18,900 JOD"
Lexus,CT 200,2012,Automatic,"140,000 - 149,999",With Customs,Hybrid,N/A,Cash Only,"11,500 JOD"
BMW,530,2017,Automatic,"120,000 - 129,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"31,900 JOD"
Toyota,Cross,2021,Automatic,"40,000 - 49,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
GMC,Yukon,2023,Automatic,"10,000 - 19,999",With Customs,Gasoline,"More than 6,000 cc",Cash Only,"115,000 JOD"
Mitsubishi,Pajero,2015,Automatic,"140,000 - 149,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"10,250 JOD"
Toyota,Prius C,2015,Automatic,"110,000 - 119,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,900 JOD"
Hyundai,Kona,2020,Automatic,"20,000 - 29,999",With Customs,Electric,50 - 69 kWh,Cash Only,"18,000 JOD"
Mercedes Benz,E 200,2014,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"27,750 JOD"
Honda,e:NS1,2022,Automatic,0,Without Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Hyundai,Sonata,2009,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,800 JOD"
Tesla,3,2022,Automatic,"20,000 - 29,999",With Customs,Electric,50 - 69 kWh,Cash Only,"22,500 JOD"
Mitsubishi,Lancer,2014,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,500 JOD"
Ford,Fusion,2015,Automatic,"+200,000",With Customs,Hybrid,N/A,Cash Only,"13,000 JOD"
Tesla,3,2022,Automatic,"10,000 - 19,999",With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Audi,Q8 e-tron,2021,Automatic,"10,000 - 19,999",With Customs,Electric,90 - 99 kWh,Cash Only,"43,800 JOD"
Honda,Civic,2020,Automatic,"50,000 - 59,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"17,000 JOD"
Toyota,RAV 4,2022,Automatic,"20,000 - 29,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,999 JOD
Hyundai,Ioniq,2021,Automatic,"20,000 - 29,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Kia,Niro,2020,Automatic,"30,000 - 39,999",With Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,Kona,2021,Automatic,"10,000 - 19,999",With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Land Rover,LR4,2011,Automatic,"110,000 - 119,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"18,900 JOD"
Tesla,3,2022,Automatic,"1,000 - 9,999",Without Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Toyota,Prius,2010,Automatic,"10,000 - 19,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,100 JOD"
Mitsubishi,Lancer,2015,Automatic,"110,000 - 119,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"15,000 JOD"
Land Rover,Range Rover Sport,2022,Automatic,"10,000 - 19,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"83,000 JOD"
Nissan,Other,2009,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,600 JOD"
Hyundai,Ioniq 5,2022,Automatic,"90,000 - 99,999",With Customs,Electric,70 - 89 kWh,Cash Only,
Hyundai,Kona,2020,Automatic,"50,000 - 59,999",With Customs,Electric,50 - 69 kWh,Cash Only,
Mitsubishi,Lancer,2013,Automatic,"170,000 - 179,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,700 JOD"
Chevrolet,Bolt,2020,Automatic,"20,000 - 29,999",Without Customs,Electric,50 - 69 kWh,Cash Only,"14,500 JOD"
Kia,Sportage,2020,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"19,800 JOD"
SEAT,Leone,2008,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,100 JOD"
Ford,F-150,2015,Automatic,"110,000 - 119,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash or Installments,N/A
Honda,Insight,2019,Automatic,"10,000 - 19,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"18,700 JOD"
Nissan,Leaf,2018,Automatic,"90,000 - 99,999",With Customs,Electric,Less than 50 kWh,Cash Only,"12,000 JOD"
Kia,Niro,2019,Automatic,"80,000 - 89,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"14,800 JOD"
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Toyota,Prius+,2020,Automatic,"30,000 - 39,999",With Customs,Hybrid,N/A,Installments Only,N/A
Hyundai,Kona,2019,Automatic,"70,000 - 79,999",With Customs,Electric,50 - 69 kWh,Installments Only,N/A
Kia,Morning,2018,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Kia,Niro,2020,Automatic,"50,000 - 59,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,
Hyundai,Porter,2018,Manual,"100,000 - 109,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,
